"VM","Metric","Value","Unit","Timestamp","Date","Time"
"DataLake-DBN2","cpu.usage.average","5.03","%","29.11.25 23:30:00","2025-11-29","23:30"
"DataLake-DBN2","cpu.usage.average","4.94","%","29.11.25 23:00:00","2025-11-29","23:00"
"DataLake-DBN2","cpu.usage.average","4.99","%","29.11.25 22:30:00","2025-11-29","22:30"
"DataLake-DBN2","cpu.usage.average","5.08","%","29.11.25 22:00:00","2025-11-29","22:00"
"DataLake-DBN2","cpu.usage.average","5.04","%","29.11.25 21:30:00","2025-11-29","21:30"
"DataLake-DBN2","cpu.usage.average","5.01","%","29.11.25 21:00:00","2025-11-29","21:00"
"DataLake-DBN2","cpu.usage.average","5.06","%","29.11.25 20:30:00","2025-11-29","20:30"
"DataLake-DBN2","cpu.usage.average","4.99","%","29.11.25 20:00:00","2025-11-29","20:00"
"DataLake-DBN2","cpu.usage.average","5","%","29.11.25 19:30:00","2025-11-29","19:30"
"DataLake-DBN2","cpu.usage.average","4.99","%","29.11.25 19:00:00","2025-11-29","19:00"
"DataLake-DBN2","cpu.usage.average","5","%","29.11.25 18:30:00","2025-11-29","18:30"
"DataLake-DBN2","cpu.usage.average","5.05","%","29.11.25 18:00:00","2025-11-29","18:00"
"DataLake-DBN2","cpu.usage.average","4.94","%","29.11.25 17:30:00","2025-11-29","17:30"
"DataLake-DBN2","cpu.usage.average","5.02","%","29.11.25 17:00:00","2025-11-29","17:00"
"DataLake-DBN2","cpu.usage.average","4.96","%","29.11.25 16:30:00","2025-11-29","16:30"
"DataLake-DBN2","cpu.usage.average","4.98","%","29.11.25 16:00:00","2025-11-29","16:00"
"DataLake-DBN2","cpu.usage.average","4.97","%","29.11.25 15:30:00","2025-11-29","15:30"
"DataLake-DBN2","cpu.usage.average","5","%","29.11.25 15:00:00","2025-11-29","15:00"
"DataLake-DBN2","cpu.usage.average","4.8","%","29.11.25 14:30:00","2025-11-29","14:30"
"DataLake-DBN2","cpu.usage.average","4.88","%","29.11.25 14:00:00","2025-11-29","14:00"
"DataLake-DBN2","cpu.usage.average","4.84","%","29.11.25 13:30:00","2025-11-29","13:30"
"DataLake-DBN2","cpu.usage.average","4.79","%","29.11.25 13:00:00","2025-11-29","13:00"
"DataLake-DBN2","cpu.usage.average","4.91","%","29.11.25 12:30:00","2025-11-29","12:30"
"DataLake-DBN2","cpu.usage.average","4.9","%","29.11.25 12:00:00","2025-11-29","12:00"
"DataLake-DBN2","cpu.usage.average","4.83","%","29.11.25 11:30:00","2025-11-29","11:30"
"DataLake-DBN2","cpu.usage.average","4.85","%","29.11.25 11:00:00","2025-11-29","11:00"
"DataLake-DBN2","cpu.usage.average","4.85","%","29.11.25 10:30:00","2025-11-29","10:30"
"DataLake-DBN2","cpu.usage.average","4.84","%","29.11.25 10:00:00","2025-11-29","10:00"
"DataLake-DBN2","cpu.usage.average","4.9","%","29.11.25 09:30:00","2025-11-29","09:30"
"DataLake-DBN2","cpu.usage.average","4.86","%","29.11.25 09:00:00","2025-11-29","09:00"
"DataLake-DBN2","cpu.usage.average","4.73","%","29.11.25 08:30:00","2025-11-29","08:30"
"DataLake-DBN2","cpu.usage.average","4.78","%","29.11.25 08:00:00","2025-11-29","08:00"
"DataLake-DBN2","cpu.usage.average","4.78","%","29.11.25 07:30:00","2025-11-29","07:30"
"DataLake-DBN2","cpu.usage.average","4.69","%","29.11.25 07:00:00","2025-11-29","07:00"
"DataLake-DBN2","cpu.usage.average","4.7","%","29.11.25 06:30:00","2025-11-29","06:30"
"DataLake-DBN2","cpu.usage.average","4.7","%","29.11.25 06:00:00","2025-11-29","06:00"
"DataLake-DBN2","cpu.usage.average","4.64","%","29.11.25 05:30:00","2025-11-29","05:30"
"DataLake-DBN2","cpu.usage.average","4.65","%","29.11.25 05:00:00","2025-11-29","05:00"
"DataLake-DBN2","cpu.usage.average","4.6","%","29.11.25 04:30:00","2025-11-29","04:30"
"DataLake-DBN2","cpu.usage.average","4.75","%","29.11.25 04:00:00","2025-11-29","04:00"
"DataLake-DBN2","cpu.usage.average","4.69","%","29.11.25 03:30:00","2025-11-29","03:30"
"DataLake-DBN2","cpu.usage.average","4.8","%","29.11.25 03:00:00","2025-11-29","03:00"
"DataLake-DBN2","cpu.usage.average","4.8","%","29.11.25 02:30:00","2025-11-29","02:30"
"DataLake-DBN2","cpu.usage.average","4.8","%","29.11.25 02:00:00","2025-11-29","02:00"
"DataLake-DBN2","cpu.usage.average","4.92","%","29.11.25 01:30:00","2025-11-29","01:30"
"DataLake-DBN2","cpu.usage.average","5.19","%","29.11.25 01:00:00","2025-11-29","01:00"
"DataLake-DBN2","cpu.usage.average","4.97","%","29.11.25 00:30:00","2025-11-29","00:30"
"DataLake-DBN2","cpu.usage.average","4.96","%","29.11.25 00:00:00","2025-11-29","00:00"
"DataLake-DBN2","cpu.usagemhz.average","2412","MHz","29.11.25 23:30:00","2025-11-29","23:30"
"DataLake-DBN2","cpu.usagemhz.average","2370","MHz","29.11.25 23:00:00","2025-11-29","23:00"
"DataLake-DBN2","cpu.usagemhz.average","2391","MHz","29.11.25 22:30:00","2025-11-29","22:30"
"DataLake-DBN2","cpu.usagemhz.average","2438","MHz","29.11.25 22:00:00","2025-11-29","22:00"
"DataLake-DBN2","cpu.usagemhz.average","2419","MHz","29.11.25 21:30:00","2025-11-29","21:30"
"DataLake-DBN2","cpu.usagemhz.average","2403","MHz","29.11.25 21:00:00","2025-11-29","21:00"
"DataLake-DBN2","cpu.usagemhz.average","2425","MHz","29.11.25 20:30:00","2025-11-29","20:30"
"DataLake-DBN2","cpu.usagemhz.average","2393","MHz","29.11.25 20:00:00","2025-11-29","20:00"
"DataLake-DBN2","cpu.usagemhz.average","2397","MHz","29.11.25 19:30:00","2025-11-29","19:30"
"DataLake-DBN2","cpu.usagemhz.average","2393","MHz","29.11.25 19:00:00","2025-11-29","19:00"
"DataLake-DBN2","cpu.usagemhz.average","2399","MHz","29.11.25 18:30:00","2025-11-29","18:30"
"DataLake-DBN2","cpu.usagemhz.average","2421","MHz","29.11.25 18:00:00","2025-11-29","18:00"
"DataLake-DBN2","cpu.usagemhz.average","2369","MHz","29.11.25 17:30:00","2025-11-29","17:30"
"DataLake-DBN2","cpu.usagemhz.average","2405","MHz","29.11.25 17:00:00","2025-11-29","17:00"
"DataLake-DBN2","cpu.usagemhz.average","2375","MHz","29.11.25 16:30:00","2025-11-29","16:30"
"DataLake-DBN2","cpu.usagemhz.average","2390","MHz","29.11.25 16:00:00","2025-11-29","16:00"
"DataLake-DBN2","cpu.usagemhz.average","2385","MHz","29.11.25 15:30:00","2025-11-29","15:30"
"DataLake-DBN2","cpu.usagemhz.average","2399","MHz","29.11.25 15:00:00","2025-11-29","15:00"
"DataLake-DBN2","cpu.usagemhz.average","2301","MHz","29.11.25 14:30:00","2025-11-29","14:30"
"DataLake-DBN2","cpu.usagemhz.average","2340","MHz","29.11.25 14:00:00","2025-11-29","14:00"
"DataLake-DBN2","cpu.usagemhz.average","2321","MHz","29.11.25 13:30:00","2025-11-29","13:30"
"DataLake-DBN2","cpu.usagemhz.average","2297","MHz","29.11.25 13:00:00","2025-11-29","13:00"
"DataLake-DBN2","cpu.usagemhz.average","2353","MHz","29.11.25 12:30:00","2025-11-29","12:30"
"DataLake-DBN2","cpu.usagemhz.average","2351","MHz","29.11.25 12:00:00","2025-11-29","12:00"
"DataLake-DBN2","cpu.usagemhz.average","2315","MHz","29.11.25 11:30:00","2025-11-29","11:30"
"DataLake-DBN2","cpu.usagemhz.average","2324","MHz","29.11.25 11:00:00","2025-11-29","11:00"
"DataLake-DBN2","cpu.usagemhz.average","2328","MHz","29.11.25 10:30:00","2025-11-29","10:30"
"DataLake-DBN2","cpu.usagemhz.average","2322","MHz","29.11.25 10:00:00","2025-11-29","10:00"
"DataLake-DBN2","cpu.usagemhz.average","2351","MHz","29.11.25 09:30:00","2025-11-29","09:30"
"DataLake-DBN2","cpu.usagemhz.average","2330","MHz","29.11.25 09:00:00","2025-11-29","09:00"
"DataLake-DBN2","cpu.usagemhz.average","2267","MHz","29.11.25 08:30:00","2025-11-29","08:30"
"DataLake-DBN2","cpu.usagemhz.average","2290","MHz","29.11.25 08:00:00","2025-11-29","08:00"
"DataLake-DBN2","cpu.usagemhz.average","2295","MHz","29.11.25 07:30:00","2025-11-29","07:30"
"DataLake-DBN2","cpu.usagemhz.average","2251","MHz","29.11.25 07:00:00","2025-11-29","07:00"
"DataLake-DBN2","cpu.usagemhz.average","2255","MHz","29.11.25 06:30:00","2025-11-29","06:30"
"DataLake-DBN2","cpu.usagemhz.average","2255","MHz","29.11.25 06:00:00","2025-11-29","06:00"
"DataLake-DBN2","cpu.usagemhz.average","2222","MHz","29.11.25 05:30:00","2025-11-29","05:30"
"DataLake-DBN2","cpu.usagemhz.average","2230","MHz","29.11.25 05:00:00","2025-11-29","05:00"
"DataLake-DBN2","cpu.usagemhz.average","2207","MHz","29.11.25 04:30:00","2025-11-29","04:30"
"DataLake-DBN2","cpu.usagemhz.average","2280","MHz","29.11.25 04:00:00","2025-11-29","04:00"
"DataLake-DBN2","cpu.usagemhz.average","2249","MHz","29.11.25 03:30:00","2025-11-29","03:30"
"DataLake-DBN2","cpu.usagemhz.average","2302","MHz","29.11.25 03:00:00","2025-11-29","03:00"
"DataLake-DBN2","cpu.usagemhz.average","2302","MHz","29.11.25 02:30:00","2025-11-29","02:30"
"DataLake-DBN2","cpu.usagemhz.average","2300","MHz","29.11.25 02:00:00","2025-11-29","02:00"
"DataLake-DBN2","cpu.usagemhz.average","2359","MHz","29.11.25 01:30:00","2025-11-29","01:30"
"DataLake-DBN2","cpu.usagemhz.average","2488","MHz","29.11.25 01:00:00","2025-11-29","01:00"
"DataLake-DBN2","cpu.usagemhz.average","2385","MHz","29.11.25 00:30:00","2025-11-29","00:30"
"DataLake-DBN2","cpu.usagemhz.average","2379","MHz","29.11.25 00:00:00","2025-11-29","00:00"
"DataLake-DBN2","cpu.ready.summation","62499","millisecond","29.11.25 23:30:00","2025-11-29","23:30"
"DataLake-DBN2","cpu.ready.summation","54905","millisecond","29.11.25 23:00:00","2025-11-29","23:00"
"DataLake-DBN2","cpu.ready.summation","55350","millisecond","29.11.25 22:30:00","2025-11-29","22:30"
"DataLake-DBN2","cpu.ready.summation","69618","millisecond","29.11.25 22:00:00","2025-11-29","22:00"
"DataLake-DBN2","cpu.ready.summation","60511","millisecond","29.11.25 21:30:00","2025-11-29","21:30"
"DataLake-DBN2","cpu.ready.summation","62408","millisecond","29.11.25 21:00:00","2025-11-29","21:00"
"DataLake-DBN2","cpu.ready.summation","67878","millisecond","29.11.25 20:30:00","2025-11-29","20:30"
"DataLake-DBN2","cpu.ready.summation","55022","millisecond","29.11.25 20:00:00","2025-11-29","20:00"
"DataLake-DBN2","cpu.ready.summation","55310","millisecond","29.11.25 19:30:00","2025-11-29","19:30"
"DataLake-DBN2","cpu.ready.summation","59441","millisecond","29.11.25 19:00:00","2025-11-29","19:00"
"DataLake-DBN2","cpu.ready.summation","60833","millisecond","29.11.25 18:30:00","2025-11-29","18:30"
"DataLake-DBN2","cpu.ready.summation","61649","millisecond","29.11.25 18:00:00","2025-11-29","18:00"
"DataLake-DBN2","cpu.ready.summation","56727","millisecond","29.11.25 17:30:00","2025-11-29","17:30"
"DataLake-DBN2","cpu.ready.summation","58703","millisecond","29.11.25 17:00:00","2025-11-29","17:00"
"DataLake-DBN2","cpu.ready.summation","55921","millisecond","29.11.25 16:30:00","2025-11-29","16:30"
"DataLake-DBN2","cpu.ready.summation","60256","millisecond","29.11.25 16:00:00","2025-11-29","16:00"
"DataLake-DBN2","cpu.ready.summation","60997","millisecond","29.11.25 15:30:00","2025-11-29","15:30"
"DataLake-DBN2","cpu.ready.summation","69623","millisecond","29.11.25 15:00:00","2025-11-29","15:00"
"DataLake-DBN2","cpu.ready.summation","48634","millisecond","29.11.25 14:30:00","2025-11-29","14:30"
"DataLake-DBN2","cpu.ready.summation","54757","millisecond","29.11.25 14:00:00","2025-11-29","14:00"
"DataLake-DBN2","cpu.ready.summation","51090","millisecond","29.11.25 13:30:00","2025-11-29","13:30"
"DataLake-DBN2","cpu.ready.summation","50589","millisecond","29.11.25 13:00:00","2025-11-29","13:00"
"DataLake-DBN2","cpu.ready.summation","51597","millisecond","29.11.25 12:30:00","2025-11-29","12:30"
"DataLake-DBN2","cpu.ready.summation","59204","millisecond","29.11.25 12:00:00","2025-11-29","12:00"
"DataLake-DBN2","cpu.ready.summation","54274","millisecond","29.11.25 11:30:00","2025-11-29","11:30"
"DataLake-DBN2","cpu.ready.summation","56011","millisecond","29.11.25 11:00:00","2025-11-29","11:00"
"DataLake-DBN2","cpu.ready.summation","57459","millisecond","29.11.25 10:30:00","2025-11-29","10:30"
"DataLake-DBN2","cpu.ready.summation","58413","millisecond","29.11.25 10:00:00","2025-11-29","10:00"
"DataLake-DBN2","cpu.ready.summation","58832","millisecond","29.11.25 09:30:00","2025-11-29","09:30"
"DataLake-DBN2","cpu.ready.summation","55252","millisecond","29.11.25 09:00:00","2025-11-29","09:00"
"DataLake-DBN2","cpu.ready.summation","48882","millisecond","29.11.25 08:30:00","2025-11-29","08:30"
"DataLake-DBN2","cpu.ready.summation","53790","millisecond","29.11.25 08:00:00","2025-11-29","08:00"
"DataLake-DBN2","cpu.ready.summation","53273","millisecond","29.11.25 07:30:00","2025-11-29","07:30"
"DataLake-DBN2","cpu.ready.summation","45775","millisecond","29.11.25 07:00:00","2025-11-29","07:00"
"DataLake-DBN2","cpu.ready.summation","47895","millisecond","29.11.25 06:30:00","2025-11-29","06:30"
"DataLake-DBN2","cpu.ready.summation","44443","millisecond","29.11.25 06:00:00","2025-11-29","06:00"
"DataLake-DBN2","cpu.ready.summation","42337","millisecond","29.11.25 05:30:00","2025-11-29","05:30"
"DataLake-DBN2","cpu.ready.summation","42487","millisecond","29.11.25 05:00:00","2025-11-29","05:00"
"DataLake-DBN2","cpu.ready.summation","42269","millisecond","29.11.25 04:30:00","2025-11-29","04:30"
