"VM","Metric","Value","Unit","Timestamp","Date","Time"
"DataLake-STBY","cpu.usage.average","15.69","%","29.11.25 23:30:00","2025-11-29","23:30"
"DataLake-STBY","cpu.usage.average","23.72","%","29.11.25 23:00:00","2025-11-29","23:00"
"DataLake-STBY","cpu.usage.average","15.66","%","29.11.25 22:30:00","2025-11-29","22:30"
"DataLake-STBY","cpu.usage.average","23.77","%","29.11.25 22:00:00","2025-11-29","22:00"
"DataLake-STBY","cpu.usage.average","15.72","%","29.11.25 21:30:00","2025-11-29","21:30"
"DataLake-STBY","cpu.usage.average","23.84","%","29.11.25 21:00:00","2025-11-29","21:00"
"DataLake-STBY","cpu.usage.average","15.67","%","29.11.25 20:30:00","2025-11-29","20:30"
"DataLake-STBY","cpu.usage.average","23.73","%","29.11.25 20:00:00","2025-11-29","20:00"
"DataLake-STBY","cpu.usage.average","15.6","%","29.11.25 19:30:00","2025-11-29","19:30"
"DataLake-STBY","cpu.usage.average","23.82","%","29.11.25 19:00:00","2025-11-29","19:00"
"DataLake-STBY","cpu.usage.average","16.02","%","29.11.25 18:30:00","2025-11-29","18:30"
"DataLake-STBY","cpu.usage.average","24.15","%","29.11.25 18:00:00","2025-11-29","18:00"
"DataLake-STBY","cpu.usage.average","15.88","%","29.11.25 17:30:00","2025-11-29","17:30"
"DataLake-STBY","cpu.usage.average","23.87","%","29.11.25 17:00:00","2025-11-29","17:00"
"DataLake-STBY","cpu.usage.average","15.89","%","29.11.25 16:30:00","2025-11-29","16:30"
"DataLake-STBY","cpu.usage.average","23.99","%","29.11.25 16:00:00","2025-11-29","16:00"
"DataLake-STBY","cpu.usage.average","15.8","%","29.11.25 15:30:00","2025-11-29","15:30"
"DataLake-STBY","cpu.usage.average","24.04","%","29.11.25 15:00:00","2025-11-29","15:00"
"DataLake-STBY","cpu.usage.average","16.11","%","29.11.25 14:30:00","2025-11-29","14:30"
"DataLake-STBY","cpu.usage.average","23.93","%","29.11.25 14:00:00","2025-11-29","14:00"
"DataLake-STBY","cpu.usage.average","15.8","%","29.11.25 13:30:00","2025-11-29","13:30"
"DataLake-STBY","cpu.usage.average","23.74","%","29.11.25 13:00:00","2025-11-29","13:00"
"DataLake-STBY","cpu.usage.average","15.69","%","29.11.25 12:30:00","2025-11-29","12:30"
"DataLake-STBY","cpu.usage.average","23.7","%","29.11.25 12:00:00","2025-11-29","12:00"
"DataLake-STBY","cpu.usage.average","15.6","%","29.11.25 11:30:00","2025-11-29","11:30"
"DataLake-STBY","cpu.usage.average","23.73","%","29.11.25 11:00:00","2025-11-29","11:00"
"DataLake-STBY","cpu.usage.average","15.58","%","29.11.25 10:30:00","2025-11-29","10:30"
