"VM","Metric","Value","Unit","Timestamp","Date","Time"
"ELK-Prom1-hot3","cpu.usage.average","15.44","%","01.12.25 23:30:00","2025-12-01","23:30"
"ELK-Prom1-hot3","cpu.usage.average","21.23","%","01.12.25 23:00:00","2025-12-01","23:00"
"ELK-Prom1-hot3","cpu.usage.average","16.73","%","01.12.25 22:30:00","2025-12-01","22:30"
"ELK-Prom1-hot3","cpu.usage.average","17.24","%","01.12.25 22:00:00","2025-12-01","22:00"
"ELK-Prom1-hot3","cpu.usage.average","19.16","%","01.12.25 21:30:00","2025-12-01","21:30"
"ELK-Prom1-hot3","cpu.usage.average","19.06","%","01.12.25 21:00:00","2025-12-01","21:00"
"ELK-Prom1-hot3","cpu.usage.average","19.84","%","01.12.25 20:30:00","2025-12-01","20:30"
"ELK-Prom1-hot3","cpu.usage.average","20.38","%","01.12.25 20:00:00","2025-12-01","20:00"
"ELK-Prom1-hot3","cpu.usage.average","20.82","%","01.12.25 19:30:00","2025-12-01","19:30"
"ELK-Prom1-hot3","cpu.usage.average","21.64","%","01.12.25 19:00:00","2025-12-01","19:00"
"ELK-Prom1-hot3","cpu.usage.average","24.16","%","01.12.25 18:30:00","2025-12-01","18:30"
"ELK-Prom1-hot3","cpu.usage.average","24.49","%","01.12.25 18:00:00","2025-12-01","18:00"
"ELK-Prom1-hot3","cpu.usage.average","24.99","%","01.12.25 17:30:00","2025-12-01","17:30"
"ELK-Prom1-hot3","cpu.usage.average","23.64","%","01.12.25 17:00:00","2025-12-01","17:00"
"ELK-Prom1-hot3","cpu.usage.average","25.25","%","01.12.25 16:30:00","2025-12-01","16:30"
"ELK-Prom1-hot3","cpu.usage.average","24.97","%","01.12.25 16:00:00","2025-12-01","16:00"
"ELK-Prom1-hot3","cpu.usage.average","23.87","%","01.12.25 15:30:00","2025-12-01","15:30"
"ELK-Prom1-hot3","cpu.usage.average","24.42","%","01.12.25 15:00:00","2025-12-01","15:00"
"ELK-Prom1-hot3","cpu.usage.average","25.5","%","01.12.25 14:30:00","2025-12-01","14:30"
"ELK-Prom1-hot3","cpu.usage.average","24.88","%","01.12.25 14:00:00","2025-12-01","14:00"
"ELK-Prom1-hot3","cpu.usage.average","24.37","%","01.12.25 13:30:00","2025-12-01","13:30"
"ELK-Prom1-hot3","cpu.usage.average","25.63","%","01.12.25 13:00:00","2025-12-01","13:00"
"ELK-Prom1-hot3","cpu.usage.average","25.6","%","01.12.25 12:30:00","2025-12-01","12:30"
"ELK-Prom1-hot3","cpu.usage.average","27.4","%","01.12.25 12:00:00","2025-12-01","12:00"
"ELK-Prom1-hot3","cpu.usage.average","26.57","%","01.12.25 11:30:00","2025-12-01","11:30"
"ELK-Prom1-hot3","cpu.usage.average","26.36","%","01.12.25 11:00:00","2025-12-01","11:00"
"ELK-Prom1-hot3","cpu.usage.average","24.79","%","01.12.25 10:30:00","2025-12-01","10:30"
"ELK-Prom1-hot3","cpu.usage.average","23.58","%","01.12.25 10:00:00","2025-12-01","10:00"
"ELK-Prom1-hot3","cpu.usage.average","25.02","%","01.12.25 09:30:00","2025-12-01","09:30"
"ELK-Prom1-hot3","cpu.usage.average","22.79","%","01.12.25 09:00:00","2025-12-01","09:00"
"ELK-Prom1-hot3","cpu.usage.average","19.93","%","01.12.25 08:30:00","2025-12-01","08:30"
"ELK-Prom1-hot3","cpu.usage.average","19.87","%","01.12.25 08:00:00","2025-12-01","08:00"
"ELK-Prom1-hot3","cpu.usage.average","17.95","%","01.12.25 07:30:00","2025-12-01","07:30"
"ELK-Prom1-hot3","cpu.usage.average","17.47","%","01.12.25 07:00:00","2025-12-01","07:00"
"ELK-Prom1-hot3","cpu.usage.average","15.47","%","01.12.25 06:30:00","2025-12-01","06:30"
"ELK-Prom1-hot3","cpu.usage.average","15.14","%","01.12.25 06:00:00","2025-12-01","06:00"
"ELK-Prom1-hot3","cpu.usage.average","12.85","%","01.12.25 05:30:00","2025-12-01","05:30"
"ELK-Prom1-hot3","cpu.usage.average","17.09","%","01.12.25 05:00:00","2025-12-01","05:00"
"ELK-Prom1-hot3","cpu.usage.average","12.68","%","01.12.25 04:30:00","2025-12-01","04:30"
"ELK-Prom1-hot3","cpu.usage.average","13","%","01.12.25 04:00:00","2025-12-01","04:00"
"ELK-Prom1-hot3","cpu.usage.average","13.4","%","01.12.25 03:30:00","2025-12-01","03:30"
"ELK-Prom1-hot3","cpu.usage.average","11.07","%","01.12.25 03:00:00","2025-12-01","03:00"
