"VM","Metric","Value","Unit","Timestamp","Date","Time"
"ELK-Prom1-lgsh2","cpu.usage.average","53.83","%","30.11.25 23:30:00","2025-11-30","23:30"
"ELK-Prom1-lgsh2","cpu.usage.average","54.51","%","30.11.25 23:00:00","2025-11-30","23:00"
"ELK-Prom1-lgsh2","cpu.usage.average","57.88","%","30.11.25 22:30:00","2025-11-30","22:30"
"ELK-Prom1-lgsh2","cpu.usage.average","55.59","%","30.11.25 22:00:00","2025-11-30","22:00"
"ELK-Prom1-lgsh2","cpu.usage.average","57.33","%","30.11.25 21:30:00","2025-11-30","21:30"
"ELK-Prom1-lgsh2","cpu.usage.average","56.69","%","30.11.25 21:00:00","2025-11-30","21:00"
"ELK-Prom1-lgsh2","cpu.usage.average","59.52","%","30.11.25 20:30:00","2025-11-30","20:30"
"ELK-Prom1-lgsh2","cpu.usage.average","59.6","%","30.11.25 20:00:00","2025-11-30","20:00"
"ELK-Prom1-lgsh2","cpu.usage.average","61.42","%","30.11.25 19:30:00","2025-11-30","19:30"
"ELK-Prom1-lgsh2","cpu.usage.average","60.99","%","30.11.25 19:00:00","2025-11-30","19:00"
"ELK-Prom1-lgsh2","cpu.usage.average","61.58","%","30.11.25 18:30:00","2025-11-30","18:30"
"ELK-Prom1-lgsh2","cpu.usage.average","60.49","%","30.11.25 18:00:00","2025-11-30","18:00"
"ELK-Prom1-lgsh2","cpu.usage.average","65.29","%","30.11.25 17:30:00","2025-11-30","17:30"
"ELK-Prom1-lgsh2","cpu.usage.average","62.95","%","30.11.25 17:00:00","2025-11-30","17:00"
"ELK-Prom1-lgsh2","cpu.usage.average","65.48","%","30.11.25 16:30:00","2025-11-30","16:30"
"ELK-Prom1-lgsh2","cpu.usage.average","58.82","%","30.11.25 16:00:00","2025-11-30","16:00"
"ELK-Prom1-lgsh2","cpu.usage.average","59.41","%","30.11.25 15:30:00","2025-11-30","15:30"
"ELK-Prom1-lgsh2","cpu.usage.average","60.33","%","30.11.25 15:00:00","2025-11-30","15:00"
"ELK-Prom1-lgsh2","cpu.usage.average","62.16","%","30.11.25 14:30:00","2025-11-30","14:30"
