"VM","Metric","Value","Unit","Timestamp","Date","Time"
"ELK-Prom1-ngnx1","cpu.usage.average","8.89","%","25.11.25 23:30:00","2025-11-25","23:30"
"ELK-Prom1-ngnx1","cpu.usage.average","10.42","%","25.11.25 23:00:00","2025-11-25","23:00"
"ELK-Prom1-ngnx1","cpu.usage.average","10.53","%","25.11.25 22:30:00","2025-11-25","22:30"
"ELK-Prom1-ngnx1","cpu.usage.average","11.29","%","25.11.25 22:00:00","2025-11-25","22:00"
"ELK-Prom1-ngnx1","cpu.usage.average","12.18","%","25.11.25 21:30:00","2025-11-25","21:30"
"ELK-Prom1-ngnx1","cpu.usage.average","12.66","%","25.11.25 21:00:00","2025-11-25","21:00"
"ELK-Prom1-ngnx1","cpu.usage.average","13.16","%","25.11.25 20:30:00","2025-11-25","20:30"
"ELK-Prom1-ngnx1","cpu.usage.average","12.47","%","25.11.25 20:00:00","2025-11-25","20:00"
"ELK-Prom1-ngnx1","cpu.usage.average","12.63","%","25.11.25 19:30:00","2025-11-25","19:30"
"ELK-Prom1-ngnx1","cpu.usage.average","14.57","%","25.11.25 19:00:00","2025-11-25","19:00"
"ELK-Prom1-ngnx1","cpu.usage.average","14.6","%","25.11.25 18:30:00","2025-11-25","18:30"
"ELK-Prom1-ngnx1","cpu.usage.average","16.13","%","25.11.25 18:00:00","2025-11-25","18:00"
"ELK-Prom1-ngnx1","cpu.usage.average","15.94","%","25.11.25 17:30:00","2025-11-25","17:30"
"ELK-Prom1-ngnx1","cpu.usage.average","16.69","%","25.11.25 17:00:00","2025-11-25","17:00"
"ELK-Prom1-ngnx1","cpu.usage.average","16.69","%","25.11.25 16:30:00","2025-11-25","16:30"
"ELK-Prom1-ngnx1","cpu.usage.average","17.84","%","25.11.25 16:00:00","2025-11-25","16:00"
"ELK-Prom1-ngnx1","cpu.usage.average","17.8","%","25.11.25 15:30:00","2025-11-25","15:30"
"ELK-Prom1-ngnx1","cpu.usage.average","18.02","%","25.11.25 15:00:00","2025-11-25","15:00"
"ELK-Prom1-ngnx1","cpu.usage.average","17.84","%","25.11.25 14:30:00","2025-11-25","14:30"
"ELK-Prom1-ngnx1","cpu.usage.average","17.57","%","25.11.25 14:00:00","2025-11-25","14:00"
"ELK-Prom1-ngnx1","cpu.usage.average","18.02","%","25.11.25 13:30:00","2025-11-25","13:30"
"ELK-Prom1-ngnx1","cpu.usage.average","18.16","%","25.11.25 13:00:00","2025-11-25","13:00"
"ELK-Prom1-ngnx1","cpu.usage.average","18.98","%","25.11.25 12:30:00","2025-11-25","12:30"
"ELK-Prom1-ngnx1","cpu.usage.average","19.37","%","25.11.25 12:00:00","2025-11-25","12:00"
"ELK-Prom1-ngnx1","cpu.usage.average","20.04","%","25.11.25 11:30:00","2025-11-25","11:30"
"ELK-Prom1-ngnx1","cpu.usage.average","19.64","%","25.11.25 11:00:00","2025-11-25","11:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","709","MHz","25.11.25 23:30:00","2025-11-25","23:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","831","MHz","25.11.25 23:00:00","2025-11-25","23:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","840","MHz","25.11.25 22:30:00","2025-11-25","22:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","901","MHz","25.11.25 22:00:00","2025-11-25","22:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","972","MHz","25.11.25 21:30:00","2025-11-25","21:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1011","MHz","25.11.25 21:00:00","2025-11-25","21:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1050","MHz","25.11.25 20:30:00","2025-11-25","20:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","995","MHz","25.11.25 20:00:00","2025-11-25","20:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1008","MHz","25.11.25 19:30:00","2025-11-25","19:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1163","MHz","25.11.25 19:00:00","2025-11-25","19:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1165","MHz","25.11.25 18:30:00","2025-11-25","18:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1287","MHz","25.11.25 18:00:00","2025-11-25","18:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1273","MHz","25.11.25 17:30:00","2025-11-25","17:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1332","MHz","25.11.25 17:00:00","2025-11-25","17:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1332","MHz","25.11.25 16:30:00","2025-11-25","16:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1424","MHz","25.11.25 16:00:00","2025-11-25","16:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1420","MHz","25.11.25 15:30:00","2025-11-25","15:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1438","MHz","25.11.25 15:00:00","2025-11-25","15:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1423","MHz","25.11.25 14:30:00","2025-11-25","14:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1402","MHz","25.11.25 14:00:00","2025-11-25","14:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1438","MHz","25.11.25 13:30:00","2025-11-25","13:30"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1449","MHz","25.11.25 13:00:00","2025-11-25","13:00"
"ELK-Prom1-ngnx1","cpu.usagemhz.average","1515","MHz","25.11.25 12:30:00","2025-11-25","12:30"
