"VM","Metric","Value","Unit","Timestamp","Date","Time"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.71","%","25.11.25 23:30:00","2025-11-25","23:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.7","%","25.11.25 23:00:00","2025-11-25","23:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.73","%","25.11.25 22:30:00","2025-11-25","22:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.72","%","25.11.25 22:00:00","2025-11-25","22:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.69","%","25.11.25 21:30:00","2025-11-25","21:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.77","%","25.11.25 21:00:00","2025-11-25","21:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.73","%","25.11.25 20:30:00","2025-11-25","20:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.7","%","25.11.25 20:00:00","2025-11-25","20:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.72","%","25.11.25 19:30:00","2025-11-25","19:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.73","%","25.11.25 19:00:00","2025-11-25","19:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.69","%","25.11.25 18:30:00","2025-11-25","18:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.72","%","25.11.25 18:00:00","2025-11-25","18:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.73","%","25.11.25 17:30:00","2025-11-25","17:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.76","%","25.11.25 17:00:00","2025-11-25","17:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.72","%","25.11.25 16:30:00","2025-11-25","16:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.74","%","25.11.25 16:00:00","2025-11-25","16:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.7","%","25.11.25 15:30:00","2025-11-25","15:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.83","%","25.11.25 15:00:00","2025-11-25","15:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","3.03","%","25.11.25 14:00:00","2025-11-25","14:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.87","%","25.11.25 13:30:00","2025-11-25","13:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.81","%","25.11.25 13:00:00","2025-11-25","13:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.77","%","25.11.25 12:30:00","2025-11-25","12:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.76","%","25.11.25 12:00:00","2025-11-25","12:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.83","%","25.11.25 11:30:00","2025-11-25","11:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usage.average","1.78","%","25.11.25 11:00:00","2025-11-25","11:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","71","MHz","25.11.25 23:30:00","2025-11-25","23:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","71","MHz","25.11.25 23:00:00","2025-11-25","23:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","72","MHz","25.11.25 22:30:00","2025-11-25","22:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","72","MHz","25.11.25 22:00:00","2025-11-25","22:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","71","MHz","25.11.25 21:30:00","2025-11-25","21:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","74","MHz","25.11.25 21:00:00","2025-11-25","21:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","72","MHz","25.11.25 20:30:00","2025-11-25","20:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","71","MHz","25.11.25 20:00:00","2025-11-25","20:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","72","MHz","25.11.25 19:30:00","2025-11-25","19:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","72","MHz","25.11.25 19:00:00","2025-11-25","19:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","70","MHz","25.11.25 18:30:00","2025-11-25","18:30"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","72","MHz","25.11.25 18:00:00","2025-11-25","18:00"
"dwh1-nfs.k8s-ift-dwh1.sigma-belpsb.by","cpu.usagemhz.average","72","MHz","25.11.25 17:30:00","2025-11-25","17:30"
