"VM","Metric","Value","Unit","Timestamp","Date","Time"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","11.76","%","01.12.25 23:30:00","2025-12-01","23:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","12.07","%","01.12.25 23:00:00","2025-12-01","23:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","12.23","%","01.12.25 22:30:00","2025-12-01","22:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","12.92","%","01.12.25 22:00:00","2025-12-01","22:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","13.06","%","01.12.25 21:30:00","2025-12-01","21:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","13.23","%","01.12.25 21:00:00","2025-12-01","21:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","13.4","%","01.12.25 20:30:00","2025-12-01","20:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.49","%","01.12.25 20:00:00","2025-12-01","20:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","13.7","%","01.12.25 19:30:00","2025-12-01","19:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","13.97","%","01.12.25 19:00:00","2025-12-01","19:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.31","%","01.12.25 18:30:00","2025-12-01","18:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.91","%","01.12.25 18:00:00","2025-12-01","18:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.49","%","01.12.25 17:30:00","2025-12-01","17:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.51","%","01.12.25 17:00:00","2025-12-01","17:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.53","%","01.12.25 16:30:00","2025-12-01","16:30"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.92","%","01.12.25 16:00:00","2025-12-01","16:00"
"k8s-prom2-wrk9.k8s-prom2.belpsb.by","cpu.usage.average","14.52","%","01.12.25 15:30:00","2025-12-01","15:30"
