"VM","Metric","Value","Unit","Timestamp","Date","Time"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.85","%","01.12.25 23:30:00","2025-12-01","23:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.43","%","01.12.25 23:00:00","2025-12-01","23:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.35","%","01.12.25 22:30:00","2025-12-01","22:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.59","%","01.12.25 22:00:00","2025-12-01","22:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.87","%","01.12.25 21:30:00","2025-12-01","21:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.76","%","01.12.25 21:00:00","2025-12-01","21:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.78","%","01.12.25 20:30:00","2025-12-01","20:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.88","%","01.12.25 20:00:00","2025-12-01","20:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.01","%","01.12.25 19:30:00","2025-12-01","19:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.13","%","01.12.25 19:00:00","2025-12-01","19:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","14.39","%","01.12.25 18:30:00","2025-12-01","18:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.76","%","01.12.25 18:00:00","2025-12-01","18:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.85","%","01.12.25 17:30:00","2025-12-01","17:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.6","%","01.12.25 17:00:00","2025-12-01","17:00"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.86","%","01.12.25 16:30:00","2025-12-01","16:30"
"k8s-psi1-wrkr2.k8s-psi1.belpsb.by","cpu.usage.average","13.48","%","01.12.25 16:00:00","2025-12-01","16:00"
