"VM","Metric","Value","Unit","Timestamp","Date","Time"
"ntmaster-psi","cpu.usage.average","1.34","%","29.11.25 23:30:00","2025-11-29","23:30"
"ntmaster-psi","cpu.usage.average","0.72","%","29.11.25 23:00:00","2025-11-29","23:00"
"ntmaster-psi","cpu.usage.average","0.9","%","29.11.25 22:30:00","2025-11-29","22:30"
"ntmaster-psi","cpu.usage.average","0.72","%","29.11.25 22:00:00","2025-11-29","22:00"
"ntmaster-psi","cpu.usage.average","0.77","%","29.11.25 21:30:00","2025-11-29","21:30"
"ntmaster-psi","cpu.usage.average","0.7","%","29.11.25 21:00:00","2025-11-29","21:00"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 20:30:00","2025-11-29","20:30"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 20:00:00","2025-11-29","20:00"
"ntmaster-psi","cpu.usage.average","0.88","%","29.11.25 19:30:00","2025-11-29","19:30"
"ntmaster-psi","cpu.usage.average","0.75","%","29.11.25 19:00:00","2025-11-29","19:00"
"ntmaster-psi","cpu.usage.average","0.78","%","29.11.25 18:30:00","2025-11-29","18:30"
"ntmaster-psi","cpu.usage.average","0.79","%","29.11.25 18:00:00","2025-11-29","18:00"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 17:30:00","2025-11-29","17:30"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 17:00:00","2025-11-29","17:00"
"ntmaster-psi","cpu.usage.average","0.91","%","29.11.25 16:30:00","2025-11-29","16:30"
"ntmaster-psi","cpu.usage.average","1.15","%","29.11.25 16:00:00","2025-11-29","16:00"
"ntmaster-psi","cpu.usage.average","0.8","%","29.11.25 15:30:00","2025-11-29","15:30"
"ntmaster-psi","cpu.usage.average","0.87","%","29.11.25 15:00:00","2025-11-29","15:00"
"ntmaster-psi","cpu.usage.average","0.86","%","29.11.25 14:30:00","2025-11-29","14:30"
"ntmaster-psi","cpu.usage.average","0.73","%","29.11.25 14:00:00","2025-11-29","14:00"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 13:30:00","2025-11-29","13:30"
"ntmaster-psi","cpu.usage.average","0.71","%","29.11.25 13:00:00","2025-11-29","13:00"
"ntmaster-psi","cpu.usage.average","0.73","%","29.11.25 12:30:00","2025-11-29","12:30"
"ntmaster-psi","cpu.usage.average","0.85","%","29.11.25 12:00:00","2025-11-29","12:00"
"ntmaster-psi","cpu.usage.average","0.72","%","29.11.25 11:30:00","2025-11-29","11:30"
"ntmaster-psi","cpu.usage.average","0.76","%","29.11.25 11:00:00","2025-11-29","11:00"
"ntmaster-psi","cpu.usage.average","0.75","%","29.11.25 10:30:00","2025-11-29","10:30"
"ntmaster-psi","cpu.usage.average","0.71","%","29.11.25 10:00:00","2025-11-29","10:00"
"ntmaster-psi","cpu.usage.average","0.72","%","29.11.25 09:30:00","2025-11-29","09:30"
"ntmaster-psi","cpu.usage.average","0.73","%","29.11.25 09:00:00","2025-11-29","09:00"
"ntmaster-psi","cpu.usage.average","0.73","%","29.11.25 08:30:00","2025-11-29","08:30"
"ntmaster-psi","cpu.usage.average","1.37","%","29.11.25 08:00:00","2025-11-29","08:00"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 07:30:00","2025-11-29","07:30"
"ntmaster-psi","cpu.usage.average","0.71","%","29.11.25 07:00:00","2025-11-29","07:00"
"ntmaster-psi","cpu.usage.average","0.73","%","29.11.25 06:30:00","2025-11-29","06:30"
"ntmaster-psi","cpu.usage.average","0.84","%","29.11.25 06:00:00","2025-11-29","06:00"
"ntmaster-psi","cpu.usage.average","0.73","%","29.11.25 05:30:00","2025-11-29","05:30"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 05:00:00","2025-11-29","05:00"
"ntmaster-psi","cpu.usage.average","0.82","%","29.11.25 04:30:00","2025-11-29","04:30"
"ntmaster-psi","cpu.usage.average","0.78","%","29.11.25 04:00:00","2025-11-29","04:00"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 03:30:00","2025-11-29","03:30"
"ntmaster-psi","cpu.usage.average","0.7","%","29.11.25 03:00:00","2025-11-29","03:00"
"ntmaster-psi","cpu.usage.average","0.75","%","29.11.25 02:30:00","2025-11-29","02:30"
"ntmaster-psi","cpu.usage.average","0.72","%","29.11.25 02:00:00","2025-11-29","02:00"
"ntmaster-psi","cpu.usage.average","0.89","%","29.11.25 01:30:00","2025-11-29","01:30"
"ntmaster-psi","cpu.usage.average","0.71","%","29.11.25 01:00:00","2025-11-29","01:00"
"ntmaster-psi","cpu.usage.average","1.32","%","29.11.25 00:30:00","2025-11-29","00:30"
"ntmaster-psi","cpu.usage.average","0.74","%","29.11.25 00:00:00","2025-11-29","00:00"
"ntmaster-psi","cpu.usagemhz.average","215","MHz","29.11.25 23:30:00","2025-11-29","23:30"
"ntmaster-psi","cpu.usagemhz.average","115","MHz","29.11.25 23:00:00","2025-11-29","23:00"
"ntmaster-psi","cpu.usagemhz.average","143","MHz","29.11.25 22:30:00","2025-11-29","22:30"
"ntmaster-psi","cpu.usagemhz.average","115","MHz","29.11.25 22:00:00","2025-11-29","22:00"
"ntmaster-psi","cpu.usagemhz.average","124","MHz","29.11.25 21:30:00","2025-11-29","21:30"
"ntmaster-psi","cpu.usagemhz.average","113","MHz","29.11.25 21:00:00","2025-11-29","21:00"
"ntmaster-psi","cpu.usagemhz.average","119","MHz","29.11.25 20:30:00","2025-11-29","20:30"
"ntmaster-psi","cpu.usagemhz.average","118","MHz","29.11.25 20:00:00","2025-11-29","20:00"
"ntmaster-psi","cpu.usagemhz.average","141","MHz","29.11.25 19:30:00","2025-11-29","19:30"
"ntmaster-psi","cpu.usagemhz.average","121","MHz","29.11.25 19:00:00","2025-11-29","19:00"
"ntmaster-psi","cpu.usagemhz.average","125","MHz","29.11.25 18:30:00","2025-11-29","18:30"
"ntmaster-psi","cpu.usagemhz.average","127","MHz","29.11.25 18:00:00","2025-11-29","18:00"
"ntmaster-psi","cpu.usagemhz.average","119","MHz","29.11.25 17:30:00","2025-11-29","17:30"
"ntmaster-psi","cpu.usagemhz.average","119","MHz","29.11.25 17:00:00","2025-11-29","17:00"
"ntmaster-psi","cpu.usagemhz.average","145","MHz","29.11.25 16:30:00","2025-11-29","16:30"
"ntmaster-psi","cpu.usagemhz.average","185","MHz","29.11.25 16:00:00","2025-11-29","16:00"
"ntmaster-psi","cpu.usagemhz.average","129","MHz","29.11.25 15:30:00","2025-11-29","15:30"
"ntmaster-psi","cpu.usagemhz.average","140","MHz","29.11.25 15:00:00","2025-11-29","15:00"
"ntmaster-psi","cpu.usagemhz.average","138","MHz","29.11.25 14:30:00","2025-11-29","14:30"
"ntmaster-psi","cpu.usagemhz.average","117","MHz","29.11.25 14:00:00","2025-11-29","14:00"
"ntmaster-psi","cpu.usagemhz.average","119","MHz","29.11.25 13:30:00","2025-11-29","13:30"
"ntmaster-psi","cpu.usagemhz.average","113","MHz","29.11.25 13:00:00","2025-11-29","13:00"
"ntmaster-psi","cpu.usagemhz.average","117","MHz","29.11.25 12:30:00","2025-11-29","12:30"
"ntmaster-psi","cpu.usagemhz.average","137","MHz","29.11.25 12:00:00","2025-11-29","12:00"
"ntmaster-psi","cpu.usagemhz.average","116","MHz","29.11.25 11:30:00","2025-11-29","11:30"
"ntmaster-psi","cpu.usagemhz.average","122","MHz","29.11.25 11:00:00","2025-11-29","11:00"
"ntmaster-psi","cpu.usagemhz.average","120","MHz","29.11.25 10:30:00","2025-11-29","10:30"
"ntmaster-psi","cpu.usagemhz.average","114","MHz","29.11.25 10:00:00","2025-11-29","10:00"
"ntmaster-psi","cpu.usagemhz.average","115","MHz","29.11.25 09:30:00","2025-11-29","09:30"
"ntmaster-psi","cpu.usagemhz.average","116","MHz","29.11.25 09:00:00","2025-11-29","09:00"
"ntmaster-psi","cpu.usagemhz.average","117","MHz","29.11.25 08:30:00","2025-11-29","08:30"
"ntmaster-psi","cpu.usagemhz.average","220","MHz","29.11.25 08:00:00","2025-11-29","08:00"
"ntmaster-psi","cpu.usagemhz.average","119","MHz","29.11.25 07:30:00","2025-11-29","07:30"
"ntmaster-psi","cpu.usagemhz.average","114","MHz","29.11.25 07:00:00","2025-11-29","07:00"
"ntmaster-psi","cpu.usagemhz.average","117","MHz","29.11.25 06:30:00","2025-11-29","06:30"
"ntmaster-psi","cpu.usagemhz.average","135","MHz","29.11.25 06:00:00","2025-11-29","06:00"
"ntmaster-psi","cpu.usagemhz.average","116","MHz","29.11.25 05:30:00","2025-11-29","05:30"
"ntmaster-psi","cpu.usagemhz.average","119","MHz","29.11.25 05:00:00","2025-11-29","05:00"
"ntmaster-psi","cpu.usagemhz.average","131","MHz","29.11.25 04:30:00","2025-11-29","04:30"
"ntmaster-psi","cpu.usagemhz.average","126","MHz","29.11.25 04:00:00","2025-11-29","04:00"
"ntmaster-psi","cpu.usagemhz.average","119","MHz","29.11.25 03:30:00","2025-11-29","03:30"
"ntmaster-psi","cpu.usagemhz.average","112","MHz","29.11.25 03:00:00","2025-11-29","03:00"
"ntmaster-psi","cpu.usagemhz.average","121","MHz","29.11.25 02:30:00","2025-11-29","02:30"
"ntmaster-psi","cpu.usagemhz.average","115","MHz","29.11.25 02:00:00","2025-11-29","02:00"
"ntmaster-psi","cpu.usagemhz.average","143","MHz","29.11.25 01:30:00","2025-11-29","01:30"
"ntmaster-psi","cpu.usagemhz.average","114","MHz","29.11.25 01:00:00","2025-11-29","01:00"
"ntmaster-psi","cpu.usagemhz.average","212","MHz","29.11.25 00:30:00","2025-11-29","00:30"
"ntmaster-psi","cpu.usagemhz.average","118","MHz","29.11.25 00:00:00","2025-11-29","00:00"
"ntmaster-psi","cpu.ready.summation","5726","millisecond","29.11.25 23:30:00","2025-11-29","23:30"
"ntmaster-psi","cpu.ready.summation","5020","millisecond","29.11.25 23:00:00","2025-11-29","23:00"
"ntmaster-psi","cpu.ready.summation","5032","millisecond","29.11.25 22:30:00","2025-11-29","22:30"
"ntmaster-psi","cpu.ready.summation","4907","millisecond","29.11.25 22:00:00","2025-11-29","22:00"
"ntmaster-psi","cpu.ready.summation","4897","millisecond","29.11.25 21:30:00","2025-11-29","21:30"
"ntmaster-psi","cpu.ready.summation","4771","millisecond","29.11.25 21:00:00","2025-11-29","21:00"
"ntmaster-psi","cpu.ready.summation","4731","millisecond","29.11.25 20:30:00","2025-11-29","20:30"
"ntmaster-psi","cpu.ready.summation","4733","millisecond","29.11.25 20:00:00","2025-11-29","20:00"
"ntmaster-psi","cpu.ready.summation","4756","millisecond","29.11.25 19:30:00","2025-11-29","19:30"
"ntmaster-psi","cpu.ready.summation","4731","millisecond","29.11.25 19:00:00","2025-11-29","19:00"
"ntmaster-psi","cpu.ready.summation","5168","millisecond","29.11.25 18:30:00","2025-11-29","18:30"
"ntmaster-psi","cpu.ready.summation","7022","millisecond","29.11.25 18:00:00","2025-11-29","18:00"
"ntmaster-psi","cpu.ready.summation","4731","millisecond","29.11.25 17:30:00","2025-11-29","17:30"
"ntmaster-psi","cpu.ready.summation","4787","millisecond","29.11.25 17:00:00","2025-11-29","17:00"
"ntmaster-psi","cpu.ready.summation","4844","millisecond","29.11.25 16:30:00","2025-11-29","16:30"
"ntmaster-psi","cpu.ready.summation","5066","millisecond","29.11.25 16:00:00","2025-11-29","16:00"
"ntmaster-psi","cpu.ready.summation","5131","millisecond","29.11.25 15:30:00","2025-11-29","15:30"
"ntmaster-psi","cpu.ready.summation","5629","millisecond","29.11.25 15:00:00","2025-11-29","15:00"
"ntmaster-psi","cpu.ready.summation","7424","millisecond","29.11.25 14:30:00","2025-11-29","14:30"
"ntmaster-psi","cpu.ready.summation","4785","millisecond","29.11.25 14:00:00","2025-11-29","14:00"
"ntmaster-psi","cpu.ready.summation","4673","millisecond","29.11.25 13:30:00","2025-11-29","13:30"
