ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,night_hours,night_hours_lower,night_hours_upper,weekly,weekly_lower,weekly_upper,work_hours,work_hours_lower,work_hours_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2025-11-25 17:00:00,2.02,4.83,5.12,1.29,3.11,-0.08,-0.46,0.29,1.74,0.6,2.82,0.0,0.0,0.0,-0.73,-1.25,-0.15,2.55,1.44,3.55,0.0,0.0,0.0,5.51
2025-11-25 17:30:00,2.0,4.79,5.07,1.28,3.09,1.02,0.58,1.73,1.73,0.59,2.84,0.0,0.0,0.0,-0.72,-1.25,-0.14,1.44,0.79,2.0,0.0,0.0,0.0,5.48
2025-11-25 18:00:00,1.99,4.73,5.01,1.27,3.08,1.74,1.04,2.71,1.72,0.58,2.83,0.0,0.0,0.0,-0.72,-1.25,-0.11,0.7,0.37,1.0,0.0,0.0,0.0,5.42
2025-11-25 18:30:00,1.98,4.6,4.91,1.26,3.07,2.15,1.27,3.2,1.68,0.54,2.79,0.0,0.0,0.0,-0.71,-1.24,-0.1,0.24,0.11,0.38,0.0,0.0,0.0,5.3
2025-11-25 19:00:00,1.96,4.48,4.77,1.25,3.06,2.33,1.36,3.4,1.63,0.5,2.72,0.0,0.0,0.0,-0.7,-1.24,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.16
2025-11-25 19:30:00,1.95,4.55,4.81,1.23,3.04,2.38,1.39,3.43,1.69,0.53,2.81,0.0,0.0,0.0,-0.69,-1.23,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,5.24
2025-11-25 20:00:00,1.94,4.52,4.78,1.22,3.03,2.37,1.39,3.44,1.69,0.53,2.82,0.0,0.0,0.0,-0.68,-1.22,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,5.21
2025-11-25 20:30:00,1.92,4.48,4.75,1.21,3.01,2.36,1.39,3.44,1.69,0.53,2.83,0.0,0.0,0.0,-0.67,-1.22,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,5.18
2025-11-25 21:00:00,1.91,4.47,4.73,1.2,3.0,2.36,1.39,3.46,1.7,0.53,2.84,0.0,0.0,0.0,-0.66,-1.21,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.17
2025-11-25 21:30:00,1.9,4.47,4.74,1.19,2.98,2.37,1.39,3.48,1.72,0.53,2.86,0.0,0.0,0.0,-0.65,-1.2,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17
2025-11-25 22:00:00,1.89,4.46,4.73,1.18,2.96,2.38,1.39,3.49,1.74,0.54,2.91,0.0,0.0,0.0,-0.64,-1.18,0.03,0.0,0.0,0.0,0.0,0.0,0.0,5.17
2025-11-25 22:30:00,1.88,4.43,4.69,1.17,2.95,2.37,1.38,3.46,1.74,0.53,2.93,0.0,0.0,0.0,-0.63,-1.16,0.04,0.0,0.0,0.0,0.0,0.0,0.0,5.14
2025-11-25 23:00:00,1.86,4.39,4.65,1.15,2.94,2.35,1.38,3.43,1.73,0.52,2.91,0.0,0.0,0.0,-0.61,-1.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,5.09
2025-11-25 23:30:00,1.85,4.36,4.65,1.14,2.93,2.34,1.36,3.45,1.74,0.54,2.95,0.0,0.0,0.0,-0.6,-1.14,0.09,0.0,0.0,0.0,0.0,0.0,0.0,5.07
2025-11-26 00:00:00,1.84,4.41,4.71,1.13,2.92,2.38,1.38,3.57,1.81,0.56,3.02,0.01,-0.09,0.13,-0.58,-1.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,5.16
2025-11-26 00:30:00,1.83,4.44,4.71,1.12,2.91,2.49,1.46,3.86,1.83,0.57,3.08,-0.09,-0.32,0.13,-0.57,-1.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,5.17
2025-11-26 01:00:00,1.81,4.39,4.65,1.11,2.9,2.69,1.61,4.29,1.82,0.55,3.08,-0.32,-0.8,0.06,-0.55,-1.08,0.17,0.0,0.0,0.0,0.0,0.0,0.0,5.12
2025-11-26 01:30:00,1.8,4.33,4.61,1.1,2.89,2.97,1.77,4.85,1.81,0.54,3.07,-0.63,-1.39,-0.05,-0.54,-1.08,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.06
